name,price,status,shipping,free_returns,items_sold
Lonabr Modern Office Chair Middle Back Adjustable Height Swivel PU Upholstered,24999,Brand New,0,False,
Beige Ergonomic Office Chair Fabric Padded Armless Home Game Chairs Mid Back US,11745,Brand New,0,True,51
High Back Leather Office Chair Executive Office Desk Task Computer Chair ,11599,Brand New,0,False,2718
Video Gaming Racing Chair Ergonomic Swivel Leather Computer Desk Office Chair,6999,Brand New,0,True,488
 Herman Miller Aeron Chair Open Box Size B Fully Loaded  ( Black Chair ) ,54911,New – Open box,0,True,10000
"Steelcase Leap V2 Chair, Fully Loaded Black on Black ",33911,Refurbished,0,True,4256
Leather Video Gaming Racing Chair Ergonomic Swivel Computer Office Desk Chair ,6959,Brand New,0,False,168
"Steelcase Leap V2 Chair,   Fully Loaded Platinum Edition",34411,New – Open box,0,True,811
Gaming Chair Ergonomic Recliner Office Computer Desk Seat Swivel Footrest,12959,Brand New,0,False,46
Ergonomic Gaming Chair Swivel Leather Executive Computer Office USA,5695,Brand New,0,True,33
 Herman Miller Fully Loaded Posture fit Size B Aeron Chairs  - Open Box -,58911,New – Open box,0,True,7944
Steelcase Amia Chair by Steelcase  (leap) Open Box,27411,New – Open box,0,True,622
Steelcase Gesture Desk Chair - Black Fabric  Fully Adjustable-Open BOX,54911,New – Open box,0,True,2640
Computer Gaming Chair Ergonomic Office Chairs Executive Swivel Racing Recliner,9959,Brand New,0,False,
"YSSOA Gaming Office Chair High Back Computer Ergonomic Chair,Headrest & Footrest",9299,Brand New,0,True,
Ergonomic Computer Gaming Chair Office Chair Recliner Racing Swivel Seat Black,15900,Brand New,0,True,
Ergonomic Gaming Chair Executive Desk Recliner Computer Seat Swivel Office Chair,7599,Brand New,0,True,344
Office Computer Desk Executive Chair Task Swivel Mesh Chair Adjustable Height ,5399,Brand New,0,False,1504
Herman Miller Mirra Chair  - Fully Adjustable Features - Graphite Frame (aeron) ,32911,New – Open box,0,True,713
Mesh Office Chairs Ergonomic Desk Chair Computer Mid Back Task Chair with Wheels,5299,Brand New,0,False,206
Gaming Chair Racing Computer Office Chair PU High Back Footrest Ergonomic Black,15499,Brand New,0,False,
"Steelcase Leap  V1  Chair, -Open Box- Fully Loaded Black Fabric",22911,Refurbished,0,True,762
New Headrest for Herman Miller classic and remastered Aeron office Chair Black,8999,Brand New,0,False,226
Steelcase Gesture Ergonomic Office Chair| Fully Functional,59900,Pre-Owned,0,False,28
Executive Gaming Chair Massage Reclining Swivel Office Chair Desk Computer,10999,Brand New,0,True,374
Ergonomic High Back Mesh Office Chair Adjustable Computer Desk Task Chair Swivel,7900,Brand New,0,True,
ZYBRTEK Ergonomic Office Gaming Computer Chair Adjustable Reclining Footrest USA,9900,Brand New,0,True,
Gaming Chair Office Racing Computer Desk Seat Recliner Footrest Swivel Vibration,12999,Brand New,0,False,
Ergonomic Gaming Racing Chair Computer Office Desk Seat Swivel Recliner Footrest,15890,Brand New,0,True,525
"Razer Iskur X Ergonomic Gaming Chair: Ergonomically, 2D Armrests, Black/Green",22888,Pre-Owned,0,False,18
Office Computer Chair High Back PU Leather Ergonomic Executive Task Desk Chairs,12076,Brand New,0,False,
Leather Gaming Racing Chair Ergonomic Executive Office Computer Desk Chair ,6999,Brand New,0,True,234
Herman Miller Celle Chair Fully Loaded,32999,Refurbished,0,False,348
Soft Leather Office Ergonomic Executive Desk Chair Swivel Computer Chair gaming,11499,Brand New,0,True,571
PU Leather High Back Executive Office Chair Ergonomic Computer Executive Swivel,7599,Brand New,0,False,1361
Gaming Chair Massage Reclining Swivel Office Chair Desk Computer Ergonomic,12699,Brand New,0,True,39
Mesh Home Office Chair Ergonomic High Back Computer Desk Task Chair Swivel Seat,6999,Brand New,2699,True,238
"Steelcase Leap V2 Chair,  -Open Box- Fully Loaded Black Fabric ",36411,New – Open box,0,True,924
High Back Ergonomic Office Chair Executive Mesh Desk Chair Lumbar Support Tilt,8900,Brand New,0,True,
Office Leather Ergonomic Racing Desk Chair Swivel Computer Chair Gaming Chair,7899,Brand New,0,True,783
Computer Gaming Racing Chair Ergonomic Office Desk Chairs Swivel Faux Leather,6500,Brand New,0,False,16
"gaming chair,   Blue and black.  Needs piston.  ",3000,Pre-Owned,,False,
Ergonomic Gaming Chair Leather Executive Computer Office Desk Chair Swivel ,6999,Brand New,0,True,104
East Oak Ergonomic High Back Mesh Swivel Office Chair (Black),8499,Brand New,0,False,
Humanscale Freedom Task Chair with Headrest; Black; Standard Arms,42000,Pre-Owned,,False,53
Ergonomic High Back Mesh Office Chair Adjustable Computer Desk Task Chair Swivel,4799,Brand New,0,False,27
Ergonomic Mesh Office Chair Foldable Executive Desk Computer Swivel Task Chair ,7899,Brand New,0,False,44
"Nightingale CXO 6200D Memory Foam, Mesh, headrest , Lumbar Support Office Chair ",39000,Pre-Owned,12999,False,254
Executive Office Desk Chair Computer Racing Gaming Chair Ergonomic Swivel Chair,7099,Brand New,0,True,140
Herman Miller Aeron Chair Mesh Headrest New  Fits A B C Size,9897,Brand New,0,False,
Fabric Recliner Chair Single Modern Sofa Home Theater Seating for Living Room,14999,Brand New,0,False,660
New Listing1994 Office Swivel Chair by Arne Jacobsen for Fritz Hansen - Model 3117 ,30000,Pre-Owned,,False,
Herman Miller Aeron Mesh Office Desk Chair Medium Size B fully adjustable lumbar,49897,Refurbished,9900,True,885
Massage Reclining Swivel Office Chair Desk Computer Gaming Chair w / Footrest,14699,Brand New,0,True,
Ergonomic Office Gaming Chair Racing Computer PU Swivel Massage Footrest Blue,11999,Brand New,0,False,
Ergonomic Executive Mesh Office Chair Swivel with Headrest Armrest Computer Desk,8999,Brand New,0,True,
"Mid-Back Mesh Adjustable Ergonomic Computer Chair, Gray",3799,Brand New,0,False,20
Hoffree bluetooth Massage Gaming Chair w/Speaker Office Computer Racing Footrest,13599,Brand New,0,True,
Computer Gaming Chair Swivel High-back Ergonomic Chairs Executive Recliner Seat,8133,Brand New,0,False,
Ergonomic Gaming Racing Chair Leather Office Chair Swivel Computer Desk Seat,8959,Brand New,0,True,
Ergonomic Gaming Racing Chair Swivel Office Desk Computer Video Game Chair ,7899,Brand New,0,True,199
Herman Miller X Logitech G Embody Gaming Chair ,129911,Brand New,0,True,144
PU Leather Executive Office Chair Ergonomic Computer Swivel Chair,8999,Brand New,0,False,
Herman Miller Aeron Remastered - Size B Graphite -open box - Highly Adjustable,64911,New – Open box,0,True,334
PU Leather Racing Gaming Chair Ergonomic Swivel Computer Office Chair,9900,Brand New,0,False,
Leather Video Gaming Chair Ergonomic Computer Swivel Office Desk Task Chair,5599,Brand New,999,True,
Mid Back Mesh Task[CHAIR+PROTECTIVE FLOOR MAT]Office Clerk Computer PC Desk Seat,5699,Brand New,0,True,77
Recliner Chairs Single Modern Reclining Sofas Home Theater Seating Club Chairs,14899,Brand New,0,False,971
Herman Miller Aeron Chair - Size B  Mineral Open Box,99911,New – Open box,0,True,86
"Plush Velvet Office Chair, Pearl Blush",5414,Brand New,0,True,
Mesh Chair Ergonomic Executive Swivel Office Chair Computer Desk Black,8590,Brand New,0,True,1377
Ergonomic Mid Back Office Computer Desk Chair PU Leather Swivel Executive Chair,7792,Brand New,0,False,
Ergonomic Office Chair High Back Swivel Executive Computer Desk Seat Mesh Task,8900,Brand New,0,True,
"YSSOA Gaming Office High Back Computer Ergonomic Chair,with Headrest & Footrest",9599,Brand New,0,True,54
Kneeling Chair Home Office Ergonomic Computer Desk Wood Stool For Active Sitting,5399,Brand New,500,True,
CLATINA Office Gaming Chair Executive Mid Back Ergonomic Adjustable PU Swivel,6999,Brand New,0,True,
High Back Leather Office Chair Executive Office Desk Task Computer Desktop Chair,9699,Brand New,0,True,
