name,price,status,shipping,free_returns,items_sold
Segway Ninebot MAX G30P Electric Kick Scooter Up to 40 Miles Long-range Battery ,94999,Brand New,0,True,
🛴ELECTRIC SCOOTER LONG RANGE FOLDING ADULT KICK E-SCOOTER SAFE URBAN COMMUTER,23999,Brand New,0,False,
New ListingMegawheels Electric Scooter Folding E-Scooter 250W Black Max Speed 23KM/H,19834,Brand New,0,False,
AOVO PRO Adult Foldable Electric Scooter 19mph Max Speed 350W Motor Brand New,29748,Brand New,0,True,
Swagtron Electric Scooter Folding & Portable Cruise Control High Speed Swagger 5,18679,Refurbished,0,True,2060
AOVOPRO ADULT ELECTRIC SCOOTER 350W Motor LONG RANGE 30KM HIGH SPEED 31KM/H NEW,29840,Brand New,0,True,
RECHARGEABLE FOLDING ELECTRIC SCOOTER ADULT KICK E-SCOOTER SAFE URBAN COMMUTER,21999,Brand New,0,False,
"Electric Scooter Adult,long Range 18miles folding Escooter Safe Urban Commuter A",30450,Brand New,0,True,
Foldable 19Mph Long Range Commuter E-Scooter 350W Adults Kick Electric Scooter,19999,New (Other),0,False,
Segway Ninebot F30 Foldable Electric Kick Scooter with 15.5mph max speed - Gray,30995,Pre-Owned,0,True,
"New ListingElectric Skateboard 25"" 350W Complete Longboard 3 Speed Modes w. Wireless Remote",17479,Brand New,0,False,
🛴ELECTRIC SCOOTER LONG RANGE FOLDING ADULT KICK E-SCOOTER SAFE URBAN COMMUTER,26500,Brand New,0,False,
5600W 60V Foldable Electric Scooter Adult Dual Motor 11inch Turbo Off Road Tires,148999,Brand New,0,False,
TopMate ES22 Electric Scooter with Seat  for Adult Commuter E-Scooter with 1200W,69900,Brand New,0,True,
Hiboy MAX3 Folding Electric Scooter 17 Miles 18.6 MPH Adult Commute E-scooter,43999,Brand New,0,False,
Kick Electric Scooter for Kids and Adults Urban Commuter Folding E-Scooter Bike,16430,Brand New,0,False,
ADULT ELECTRIC SCOOTER LONG RANGE FOLDING E-SCOOTER FOR SAFE URBAN COMMUTER,17899,Brand New,299,False,27
