name,price,status,shipping,free_returns,items_sold
I Want To Be A Nice Person Funny Mug,1699,Brand New,499,True,
I Became A Lady Nurse T S Gift Coffee Mug,1399,Brand New,0,False,
To My Wife Never Forget That I Love You Coffee Mug Mothers Day Mug Funny Coffee,1495,Brand New,0,False,
Funny Coffee Cat Mug EEFFOC Is Coffee Spelled Backwards 11 OZ Cute Cup CM440,1495,Brand New,0,True,56
New ListingBest Funny Coffee Mug Sorry No Hablo Fucktardo 11 oz Mug Gift Family Friends,999,Brand New,0,False,
"EUC Vintage Dean & DeLuca Ceramic Coffee Mug, Cream with Black Lettering 4"" Tall",599,Pre-Owned,736,False,
You're A Great Sister-In-Law Funny Trump Merry Christmas 2022 Coffee Mug HOT,1899,Brand New,0,True,
Daughter-In-Law From Your Mother-In-law I Gave you My Son 11 OZ Coffee Mug M814,1299,Brand New,0,True,
New ListingBuddy The ELF Movie Coffee Cup Christmas Mug Will Ferrell,399,Pre-Owned,943,False,
Snoopy Peanuts Happy Thanksgiving Coffee Mug,1299,Brand New,699,False,
To My Daughter Mug I Want You To Believe from Dad Gift For Birthday Graduation,1699,Brand New,599,True,
"I Want To Be A Nice Person Funny Coffee Mug, Christmas Gift",1179,Brand New,699,False,
Gregg Funny Gutfeld Vintage Coffee Mug 11OZ Best Gift For Friends&Family Vintage,1515,Brand New,0,False,
Machine washable Knight Templar Gift Coffee Mug Gift Coffee Mug,1399,Brand New,0,False,
Ezprogear 11 oz Double Wall Stainless Steel Insulated Coffee Mug w/Slider Lid,999,Brand New,0,False,
Deputy Dawg Mug Deputy Dog Deputy Sheriff Gift Funny Coffee Mug 11/15oz Ceramic,1515,Brand New,0,False,
New ListingGREAT WOLF LODGE CERAMIC COFFEE MUG CUP  4.5” Tall Heavy,1299,Pre-Owned,1125,False,
Bloodsport | Bloodsport Mug | Funny Coffee Mug | 11oz Mug,1600,Brand New,0,False,
COFFEE CONTAINER 12oz Hot Insulated Stainless Steel Storage Cup Thermos Soup Mug,1199,Brand New,0,False,
"You're A Great Mom Trump Mug, Great Mom Trump Coffee Mug Gift Christmas 2022",1690,New other (see details),0,False,
The Office World'S Best Boss Dunder Mifflin Ceramic Mug Funny Coffee Cup Gift,690,Brand New,943,False,
New ListingDeck the Palms Santa Flamingo Christmas Coffee Mug 11oz Ceramic Xmas Coffee Mug,1499,Brand New,499,True,
Happy thanksgiving Designs gifts mug. Thanksgiving custom Photo gift Mugs,1099,Brand New,0,False,
Pottery Barn Pumpkin Mug Orange,2500,Pre-Owned,760,False,
Mama Needs Coffee - Ceramic Coffee Mug 11 oz - White Mug For Mom,1995,Brand New,0,False,
"CafePress Easter Bilby Gifts, Mug 11 oz Ceramic Mug (106316684)",1499,Brand New,0,False,
New ListingFlowers glossy mug,1350,Brand New,649,True,
coffee mug,99,Pre-Owned,1125,False,
Funny Personalized Russian Blue Cat Blue Grey Custom Name Coffee Mug,1699,Brand New,699,True,
"Large Ceramic Coffee Mug, The Future Is Female (White, 16 oz)",1238,Brand New,0,True,
"Pilot Six Pack Aviation Coffee Mug, Pilot Mug Gift",1099,Brand New,799,False,45
Christmas coffee mug christmas gift holiday gift cat lover gift Black Mug,999,Brand New,0,True,
Pablo Picasso Dachshund Dog (Lump) Artwork Mug,903,Brand New,0,True,
New ListingWhite glossy mug Novelty Funny Mug Gift for Christmas Birthdays Gift for Her,1000,Brand New,649,True,
